NUMBER OF OBSERVATIONS							
270							
DAY	MONTH	YEAR	RAIN	PET	SOIL_VWC	GWL	ABS
30	6	1976	0.489656544	3.543333	-9999	36.281429	0
31	7	1976	0.549751344	4.070968	-9999	34.95	0
31	8	1976	0.250586019	3.625806	-9999	33.602857	0
30	9	1976	5.395277666	1.763333	-9999	33.83	0
31	10	1976	6.467116307	1	-9999	38.941429	0
30	11	1976	5.437326013	0.48	-9999	56.74	0
31	12	1976	2.989407626	0.296774	-9999	65.53	0
31	1	1977	3.243690994	0.374194	-9999	65.0875	0
28	2	1977	4.30008698	0.671429	-9999	70.1775	0
31	3	1977	2.720886693	1.129032	-9999	61.235714	0
30	4	1977	1.192658413	1.923333	-9999	59.33	0
31	5	1977	1.610183601	3.280645	-9999	50.468571	0
30	6	1977	1.775690571	2.356667	-9999	47.1475	0
31	7	1977	0.921696058	3.351613	-9999	44.261429	0
31	8	1977	3.709204479	2.177419	-9999	40.83	0
30	9	1977	1.262503255	1.576667	-9999	39.223077	0
31	10	1977	1.735035323	1.23871	-9999	38.28	0
30	11	1977	3.197432552	0.946667	-9999	38.536	0
31	12	1977	4.27073533	0.464516	-9999	51.897143	0
31	1	1978	3.363366922	0.535484	-9999	61.9	0
28	2	1978	2.573292153	0.642857	-9999	60.25	0
31	3	1978	2.8701033	1.158065	-9999	58.85	0
30	4	1978	2.094062994	1.713333	-9999	57.771429	0
31	5	1978	1.497119376	2.735484	-9999	54.237143	0
30	6	1978	1.505934012	2.913333	-9999	48.98	0
31	7	1978	2.3906963	2.593548	-9999	44.47	0
31	8	1978	1.60835543	2.474194	-9999	41.424286	0
30	9	1978	0.711098555	2.046667	-9999	39.241667	0
31	10	1978	0.310967533	1.112903	-9999	37.525	0
30	11	1978	0.606111983	0.693333	-9999	36.194286	0
31	12	1978	5.935801508	0.496774	-9999	37.06	0
31	1	1979	3.456785433	0.367742	-9999	45.385714	0
28	2	1979	2.706586183	0.592857	-9999	57.571429	0
31	3	1979	3.359364286	1.154839	-9999	59.022857	0
30	4	1979	2.480743468	1.803333	-9999	59.956	0
31	5	1979	3.620181091	2.509677	-9999	52.132857	0
30	6	1979	1.403861767	2.336667	-9999	49.518	0
31	7	1979	1.573866827	3.051613	-9999	45.875	0
31	8	1979	2.45399111	2.409677	-9999	42.753333	0
30	9	1979	1.096493234	1.843333	-9999	40.412857	0
31	10	1979	3.052827443	1.132258	-9999	38.757143	0
30	11	1979	2.857629277	0.586667	-9999	40.791429	0
31	12	1979	4.322915494	0.577419	-9999	60.085714	0
31	1	1980	1.815936289	0.377419	-9999	56.998571	0
29	2	1980	3.271189146	0.555172	-9999	61.86	0
