NUMBER OF OBSERVATIONS							
540							
DAY	MONTH	YEAR	RAIN	PET	SOIL_VWC	GWL	ABS
30	9	1993	5.624949445	1.753333	-9999	38.705714	0
31	10	1993	4.3538255	1.103226	-9999	54.433333	0
30	11	1993	2.311676638	0.556667	-9999	50.085	0
31	12	1993	6.404778661	0.606452	-9999	70.621111	0
31	1	1994	5.492559734	0.496774	-9999	72.588571	0
28	2	1994	2.993129152	0.5	-9999	65.56	0
31	3	1994	2.002805893	1.403226	-9999	60.325	0
30	4	1994	2.937683152	2.19	-9999	60.124444	0
31	5	1994	3.042145107	2.503226	-9999	52.22	0
30	6	1994	1.618285098	3.473333	-9999	48.677143	0
31	7	1994	0.676272294	3.416129	-9999	45.4475	0
31	8	1994	1.633585998	3.035484	-9999	42.32	0
30	9	1994	3.778068794	2.133333	-9999	40.161429	0
31	10	1994	3.504849611	1.225806	-9999	39.393333	0
30	11	1994	3.43720699	0.596667	-9999	48.559231	0
31	12	1994	4.223395522	0.635484	-9999	60.714286	0
31	1	1995	5.765336174	0.745161	-9999	74.0875	0
28	2	1995	4.555289785	0.953571	-9999	75.35	0
31	3	1995	1.972931359	1.587097	-9999	64.925862	0
30	4	1995	0.601625973	2.05	-9999	54.305714	0
31	5	1995	0.764898137	3.019355	-9999	47.47	0
30	6	1995	0.601365332	3.29	-9999	43.224074	0
31	7	1995	1.490103818	3.509677	-9999	40.376154	0
31	8	1995	0.088130068	4.180645	-9999	38.183333	0
30	9	1995	5.770253518	2.136667	-9999	36.219091	0
31	10	1995	0.958557158	1.619355	-9999	34.580968	0
30	11	1995	1.797715639	0.73	-9999	34.44	0
31	12	1995	2.931215348	0.4	-9999	34.68	0
31	1	1996	2.814845134	0.483871	-9999	43.865714	0
29	2	1996	2.913987068	0.803448	-9999	46.813846	0
31	3	1996	1.334275999	1.019355	-9999	48.468889	0
30	4	1996	0.985153243	1.843333	-9999	46.23125	0
31	5	1996	2.196301185	2.725806	-9999	44.015294	0
30	6	1996	0.642402608	3.43	-9999	41.692941	0
31	7	1996	0.751414589	3.429032	-9999	40.024286	0
31	8	1996	1.966645278	3.241935	-9999	38.078571	0
30	9	1996	1.074763955	2.24	-9999	36.371364	0
31	10	1996	1.982342606	1.606452	-9999	35.021304	0
30	11	1996	5.523656794	0.926667	-9999	35.975	0
31	12	1996	0.950305116	0.616129	-9999	40.06	0
31	1	1997	0.687114043	0.348387	-9999	41.2275	0
28	2	1997	4.176363763	0.935714	-9999	50.59	0
31	3	1997	0.611424053	1.341935	-9999	51.5525	0
30	4	1997	0.352576631	2.39	-9999	47.332941	0
31	5	1997	1.771254125	3.4	-9999	43.6725	0
30	6	1997	4.503971329	3.046667	-9999	41.088077	0
31	7	1997	0.665743693	3.290323	-9999	39.174595	0
31	8	1997	3.247817477	2.9	-9999	37.734516	0
30	9	1997	0.382070386	2.203333	-9999	36.059	0
31	10	1997	3.307467199	1.445161	-9999	36.386	0
