NUMBER OF OBSERVATIONS								
1621							
DAY	MONTH	YEAR	RAIN	PE	SOIL_VWC	GWL	ABS	
24	12	2014	0.00124375	0.423870968	-9999	-9999	0	
25	12	2014	0.018648585	0.423870968	-9999	-9999	0	
26	12	2014	17.23544312	0.423870968	-9999	-9999	0	
27	12	2014	0.059573218	0.423870968	-9999	-9999	0	
28	12	2014	0.005099257	0.423870968	-9999	-9999	0	
29	12	2014	0	0.423870968	-9999	-9999	0	
30	12	2014	0.060323991	0.423870968	-9999	-9999	0	
31	12	2014	0.03304664	0.423870968	-9999	-9999	0	
1	1	2015	0.337813824	0.5	-9999	-9999	0	
2	1	2015	5.503045082	0.5	-9999	-9999	0	
3	1	2015	0.896837354	0.5	-9999	-9999	0	
4	1	2015	4.799098969	0.5	-9999	-9999	0	
5	1	2015	0.629799426	0.5	-9999	-9999	0	
6	1	2015	1.274115324	0.5	-9999	-9999	0	
7	1	2015	1.256586432	0.5	-9999	-9999	0	
8	1	2015	10.26375294	0.5	-9999	-9999	0	
9	1	2015	0.0228076	0.5	-9999	-9999	0	
10	1	2015	1.996187568	0.5	-9999	-9999	0	
11	1	2015	0.000944463	0.5	-9999	-9999	0	
12	1	2015	8.853726387	0.5	-9999	-9999	0	
13	1	2015	2.478824854	0.5	-9999	-9999	0	
14	1	2015	2.434229851	0.5	-9999	-9999	0	
15	1	2015	0.011363032	0.5	-9999	-9999	0	
16	1	2015	0.019903872	0.5	-9999	-9999	0	
17	1	2015	1.640106797	0.5	-9999	-9999	0	
18	1	2015	0.01249734	0.5	-9999	-9999	0	
19	1	2015	0	0.5	-9999	-9999	0	
20	1	2015	0.242671251	0.5	-9999	-9999	0	
21	1	2015	1.37420392	0.5	-9999	-9999	0	
22	1	2015	0	0.5	-9999	-9999	0	
23	1	2015	5.665826321	0.5	-9999	-9999	0	
24	1	2015	0.103139296	0.5	-9999	-9999	0	
25	1	2015	0.273218036	0.5	-9999	-9999	0	
26	1	2015	0.077877678	0.5	-9999	-9999	0	
27	1	2015	0.000377559	0.5	-9999	-9999	0	
28	1	2015	1.882536411	0.5	-9999	19.93	0	
29	1	2015	1.853830338	0.5	-9999	-9999	0	
30	1	2015	0.055752486	0.5	-9999	-9999	0	
31	1	2015	4.523621559	0.5	-9999	-9999	0	
1	2	2015	2.099447727	0.925	-9999	-9999	0	
2	2	2015	1.03858459	0.925	-9999	-9999	0	
3	2	2015	1.120636344	0.925	-9999	-9999	0	
4	2	2015	0.802419543	0.925	-9999	-9999	0	
5	2	2015	0.098501332	0.925	-9999	-9999	0	
6	2	2015	0.095142841	0.925	-9999	-9999	0	
7	2	2015	0.168022603	0.925	-9999	-9999	0	
8	2	2015	0.08165063	0.925	-9999	-9999	0	
9	2	2015	0.003355823	0.925	-9999	-9999	0	
10	2	2015	7.62E-05	0.925	-9999	-9999	0	
11	2	2015	4.25E-05	0.925	-9999	-9999	0	
