NUMBER OF OBSERVATIONS							
9775							
DAY	MONTH	YEAR	RAIN	PET	SOIL_VWC	GWL	ABS
23	9	1992	2.736844778	1.856666667	-9999	-9999	0
24	9	1992	4.837300777	1.856666667	-9999	-9999	0
25	9	1992	1.314476609	1.856666667	-9999	-9999	0
26	9	1992	0.002400923	1.856666667	-9999	-9999	0
27	9	1992	0.000373288	1.856666667	-9999	-9999	0
28	9	1992	6.43E-05	1.856666667	-9999	-9999	0
29	9	1992	1.643818617	1.856666667	-9999	-9999	0
30	9	1992	3.135859728	1.856666667	-9999	-9999	0
1	10	1992	0.008847228	1.022580645	-9999	-9999	0
2	10	1992	15.22202015	1.022580645	-9999	-9999	0
3	10	1992	0.160358772	1.022580645	-9999	-9999	0
4	10	1992	0.000703872	1.022580645	-9999	-9999	0
5	10	1992	0	1.022580645	-9999	-9999	0
6	10	1992	0.00129038	1.022580645	-9999	-9999	0
7	10	1992	0.20718433	1.022580645	-9999	-9999	0
8	10	1992	0.009149764	1.022580645	-9999	-9999	0
9	10	1992	0.362030357	1.022580645	-9999	-9999	0
10	10	1992	1.432029963	1.022580645	-9999	-9999	0
11	10	1992	0.187907979	1.022580645	-9999	-9999	0
12	10	1992	0.101838887	1.022580645	-9999	-9999	0
13	10	1992	0.000847968	1.022580645	-9999	-9999	0
14	10	1992	2.246028185	1.022580645	-9999	13.76	0
15	10	1992	0.200053543	1.022580645	-9999	-9999	0
16	10	1992	0.000129762	1.022580645	-9999	-9999	0
17	10	1992	0.000345014	1.022580645	-9999	-9999	0
18	10	1992	0.000315283	1.022580645	-9999	-9999	0
19	10	1992	8.914319992	1.022580645	-9999	-9999	0
20	10	1992	8.679354668	1.022580645	-9999	-9999	0
21	10	1992	0.009685095	1.022580645	-9999	-9999	0
22	10	1992	0.461650014	1.022580645	-9999	-9999	0
23	10	1992	1.897532701	1.022580645	-9999	-9999	0
24	10	1992	15.10015774	1.022580645	-9999	-9999	0
25	10	1992	2.104099035	1.022580645	-9999	-9999	0
26	10	1992	1.972322464	1.022580645	-9999	-9999	0
27	10	1992	2.072822094	1.022580645	-9999	-9999	0
28	10	1992	0.13153547	1.022580645	-9999	-9999	0
29	10	1992	0.001342992	1.022580645	-9999	-9999	0
30	10	1992	0.00103597	1.022580645	-9999	-9999	0
31	10	1992	0.000177283	1.022580645	-9999	-9999	0
1	11	1992	1.200290918	0.75	-9999	-9999	0
2	11	1992	3.467610121	0.75	-9999	-9999	0
3	11	1992	0.003803172	0.75	-9999	-9999	0
4	11	1992	0.003365856	0.75	-9999	-9999	0
5	11	1992	0.054011323	0.75	-9999	-9999	0
6	11	1992	0.000637444	0.75	-9999	-9999	0
7	11	1992	3.72E-05	0.75	-9999	-9999	0
8	11	1992	0.117973998	0.75	-9999	-9999	0
9	11	1992	7.541731834	0.75	-9999	-9999	0
10	11	1992	13.71278477	0.75	-9999	-9999	0
11	11	1992	0.303287834	0.75	-9999	-9999	0
12	11	1992	4.25E-05	0.75	-9999	14.14	0
13	11	1992	0.000804159	0.75	-9999	-9999	0
14	11	1992	9.587350845	0.75	-9999	-9999	0
15	11	1992	0.176286325	0.75	-9999	-9999	0
16	11	1992	2.646683931	0.75	-9999	-9999	0
17	11	1992	0.078841902	0.75	-9999	-9999	0
18	11	1992	1.143981695	0.75	-9999	-9999	0
19	11	1992	0.000874212	0.75	-9999	-9999	0
20	11	1992	0.000423356	0.75	-9999	-9999	0
21	11	1992	6.693906307	0.75	-9999	-9999	0
22	11	1992	3.143599749	0.75	-9999	-9999	0
23	11	1992	0.011449938	0.75	-9999	-9999	0
24	11	1992	5.172023773	0.75	-9999	-9999	0
25	11	1992	13.04334736	0.75	-9999	-9999	0
26	11	1992	0.003247371	0.75	-9999	-9999	0
27	11	1992	5.683674335	0.75	-9999	-9999	0
28	11	1992	0.921631515	0.75	-9999	-9999	0
29	11	1992	0.125075698	0.75	-9999	-9999	0
30	11	1992	1.17836082	0.75	-9999	-9999	0
1	12	1992	2.700472116	0.4	-9999	-9999	0
2	12	1992	3.337323189	0.4	-9999	-9999	0
3	12	1992	6.767706394	0.4	-9999	-9999	0
4	12	1992	0.308487713	0.4	-9999	-9999	0
5	12	1992	0.053195607	0.4	-9999	-9999	0
6	12	1992	10.49876308	0.4	-9999	-9999	0
7	12	1992	0.323548645	0.4	-9999	-9999	0
8	12	1992	0.359990567	0.4	-9999	-9999	0
9	12	1992	0.131712139	0.4	-9999	-9999	0
10	12	1992	0.051002555	0.4	-9999	-9999	0
11	12	1992	3.996794224	0.4	-9999	-9999	0
12	12	1992	0.0111526	0.4	-9999	-9999	0
13	12	1992	0.002917314	0.4	-9999	-9999	0
14	12	1992	0.000629287	0.4	-9999	-9999	0
15	12	1992	0.756434321	0.4	-9999	16.42	0
16	12	1992	2.595376968	0.4	-9999	-9999	0
17	12	1992	0.018879438	0.4	-9999	-9999	0
18	12	1992	3.979849815	0.4	-9999	-9999	0
19	12	1992	0.569607437	0.4	-9999	-9999	0
20	12	1992	0.043345429	0.4	-9999	-9999	0
21	12	1992	0.015026753	0.4	-9999	-9999	0
22	12	1992	0.003214659	0.4	-9999	-9999	0
23	12	1992	0	0.4	-9999	-9999	0
24	12	1992	0.152821749	0.4	-9999	-9999	0
25	12	1992	0.021639222	0.4	-9999	-9999	0
26	12	1992	0.003013439	0.4	-9999	-9999	0
27	12	1992	0.001381576	0.4	-9999	-9999	0
28	12	1992	4.50E-05	0.4	-9999	-9999	0
29	12	1992	5.90E-06	0.4	-9999	-9999	0
30	12	1992	0	0.4	-9999	-9999	0
31	12	1992	0.00010105	0.4	-9999	-9999	0
1	1	1993	7.42E-05	0.677419355	-9999	-9999	0
2	1	1993	0	0.677419355	-9999	-9999	0
3	1	1993	0	0.677419355	-9999	-9999	0
4	1	1993	1.611715078	0.677419355	-9999	-9999	0
5	1	1993	5.553993702	0.677419355	-9999	-9999	0
6	1	1993	6.819664001	0.677419355	-9999	-9999	0
7	1	1993	0.911150098	0.677419355	-9999	-9999	0
